level,source,target,journal
citation 25,Conservation Physiology,HOSPITAL PHARMACY,Hospital Pharmacy
citation 25,Conservation Physiology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 25,Conservation Physiology,CONSERVATION PHYSIOLOGY,Conservation Physiology
citation 25,Conservation Physiology,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,Integrated Environmental Assessment And Management
citation 25,Conservation Physiology,CHEMOSPHERE,Chemosphere
citation 25,Conservation Physiology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 25,Conservation Physiology,CHEMOSPHERE,Chemosphere
citation 25,Conservation Physiology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 25,Conservation Physiology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 25,Conservation Physiology,CHEMOSPHERE,Chemosphere
citation 25,Conservation Physiology,GREEN CHEMISTRY,Green Chemistry
citation 25,Conservation Physiology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 25,Conservation Physiology,RESOURCES CONSERVATION AND RECYCLING,Resources Conservation And Recycling
citation 25,Conservation Physiology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 25,Conservation Physiology,ENVIRONMENT INTERNATIONAL,Environment International
citation 26,Journal Of Experimental Biology,ANIMAL COGNITION,Animal Cognition
citation 26,Journal Of Experimental Biology,BIOLOGY LETTERS,Biology Letters
citation 26,Journal Of Experimental Biology,ANIMAL COGNITION,Animal Cognition
citation 26,Journal Of Experimental Biology,HELIYON,Heliyon
citation 26,Journal Of Experimental Biology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 26,Journal Of Experimental Biology,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 26,Journal Of Experimental Biology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 26,Journal Of Experimental Biology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 26,Journal Of Experimental Biology,ECOLOGICAL MONOGRAPHS,Ecological Monographs
citation 26,Journal Of Experimental Biology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 26,Journal Of Experimental Biology,AGGRESSIVE BEHAVIOR,Aggressive Behavior
citation 26,Journal Of Experimental Biology,SCIENTIFIC REPORTS,Scientific Reports
citation 26,Journal Of Experimental Biology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 26,Journal Of Experimental Biology,ANIMAL BEHAVIOUR,Animal Behaviour
citation 26,Journal Of Experimental Biology,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Philosophical Transactions Of The Royal Society B-Biological Sciences
citation 26,Journal Of Experimental Biology,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 26,Journal Of Experimental Biology,PHYSIOLOGY & BEHAVIOR,Physiology & Behavior
citation 26,Journal Of Experimental Biology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 27,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 27,Environmental Pollution,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 27,Environmental Pollution,MARINE POLLUTION BULLETIN,Marine Pollution Bulletin
citation 27,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 27,Environmental Pollution,BIOLOGY LETTERS,Biology Letters
citation 27,Environmental Pollution,HELIYON,Heliyon
citation 27,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 27,Environmental Pollution,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 27,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 27,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 27,Environmental Pollution,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 27,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 27,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 27,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 27,Environmental Pollution,BEHAVIORAL ECOLOGY,Behavioral Ecology
citation 27,Environmental Pollution,CHEMOSPHERE,Chemosphere
citation 28,Ecotoxicology And Environmental Safety,WATER,Water
citation 28,Ecotoxicology And Environmental Safety,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 28,Ecotoxicology And Environmental Safety,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 28,Ecotoxicology And Environmental Safety,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 28,Ecotoxicology And Environmental Safety,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 28,Ecotoxicology And Environmental Safety,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 28,Ecotoxicology And Environmental Safety,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 28,Ecotoxicology And Environmental Safety,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 28,Ecotoxicology And Environmental Safety,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 28,Ecotoxicology And Environmental Safety,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 28,Ecotoxicology And Environmental Safety,ENVIRONMENTAL RESEARCH,Environmental Research
citation 28,Ecotoxicology And Environmental Safety,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 28,Ecotoxicology And Environmental Safety,CHEMOSPHERE,Chemosphere
citation 28,Ecotoxicology And Environmental Safety,CHEMOSPHERE,Chemosphere
citation 28,Ecotoxicology And Environmental Safety,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 28,Ecotoxicology And Environmental Safety,4TH INTERNATIONAL CONFERENCE ON WATER RESOURCE AND ENVIRONMENT (WRE 2018),4Th International Conference On Water Resource And Environment (Wre 2018)
citation 29,Chemosphere,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 29,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 29,Chemosphere,FRONTIERS IN PHYSIOLOGY,Frontiers In Physiology
citation 29,Chemosphere,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 29,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 29,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 29,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 29,Chemosphere,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 29,Chemosphere,JOURNAL OF SHELLFISH RESEARCH,Journal Of Shellfish Research
citation 29,Chemosphere,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 29,Chemosphere,WATER RESEARCH,Water Research
citation 29,Chemosphere,ECOTOXICOLOGY,Ecotoxicology
citation 29,Chemosphere,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 29,Chemosphere,CHEMOSPHERE,Chemosphere
citation 3,Environmental Science And Pollution Research,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 3,Environmental Science And Pollution Research,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 3,Environmental Science And Pollution Research,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 3,Environmental Science And Pollution Research,ACS OMEGA,Acs Omega
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,Environmental Science-Water Research & Technology
citation 3,Environmental Science And Pollution Research,JOURNAL OF COLLOID AND INTERFACE SCIENCE,Journal Of Colloid And Interface Science
citation 3,Environmental Science And Pollution Research,PROCESSES,Processes
citation 3,Environmental Science And Pollution Research,SN APPLIED SCIENCES,Sn Applied Sciences
citation 3,Environmental Science And Pollution Research,APPLIED SURFACE SCIENCE,Applied Surface Science
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,JOURNAL OF POLYMERS AND THE ENVIRONMENT,Journal Of Polymers And The Environment
citation 3,Environmental Science And Pollution Research,POLYMERS,Polymers
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL TECHNOLOGY & INNOVATION,Environmental Technology & Innovation
citation 3,Environmental Science And Pollution Research,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,Physica E-Low-Dimensional Systems & Nanostructures
citation 3,Environmental Science And Pollution Research,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,Frontiers Of Chemical Science And Engineering
citation 3,Environmental Science And Pollution Research,MATERIALS,Materials
citation 3,Environmental Science And Pollution Research,COORDINATION CHEMISTRY REVIEWS,Coordination Chemistry Reviews
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,SEPARATION SCIENCE AND TECHNOLOGY,Separation Science And Technology
citation 3,Environmental Science And Pollution Research,NPJ CLEAN WATER,Npj Clean Water
citation 3,Environmental Science And Pollution Research,HANDBOOK OF NANOMATERIALS IN ANALYTICAL CHEMISTRY: MODERN TRENDS IN ANALYSIS,Handbook Of Nanomaterials In Analytical Chemistry: Modern Trends In Analysis
citation 3,Environmental Science And Pollution Research,TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY,Trends In Environmental Analytical Chemistry
citation 3,Environmental Science And Pollution Research,NANOMATERIALS,Nanomaterials
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 3,Environmental Science And Pollution Research,CHEMOSPHERE,Chemosphere
citation 3,Environmental Science And Pollution Research,MICRO & NANO LETTERS,Micro & Nano Letters
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 3,Environmental Science And Pollution Research,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,Journal Of The Taiwan Institute Of Chemical Engineers
citation 3,Environmental Science And Pollution Research,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 3,Environmental Science And Pollution Research,RESEARCH ON CHEMICAL INTERMEDIATES,Research On Chemical Intermediates
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 3,Environmental Science And Pollution Research,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,Journal Of Environmental Chemical Engineering
citation 3,Environmental Science And Pollution Research,BIOMACROMOLECULES,Biomacromolecules
citation 3,Environmental Science And Pollution Research,EMERGING AND NANOMATERIAL CONTAMINANTS IN WASTEWATER: ADVANCED TREATMENT TECHNOLOGIES,Emerging And Nanomaterial Contaminants In Wastewater: Advanced Treatment Technologies
citation 3,Environmental Science And Pollution Research,BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,Brazilian Journal Of Chemical Engineering
citation 3,Environmental Science And Pollution Research,CURRENT DRUG METABOLISM,Current Drug Metabolism
citation 3,Environmental Science And Pollution Research,JOURNAL OF ENVIRONMENTAL SCIENCES,Journal Of Environmental Sciences
citation 3,Environmental Science And Pollution Research,CHEMOSPHERE,Chemosphere
citation 3,Environmental Science And Pollution Research,ANALYTICA CHIMICA ACTA,Analytica Chimica Acta
citation 3,Environmental Science And Pollution Research,ACS APPLIED NANO MATERIALS,Acs Applied Nano Materials
citation 3,Environmental Science And Pollution Research,CHEMOSPHERE,Chemosphere
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,WATER AIR AND SOIL POLLUTION,Water Air And Soil Pollution
citation 3,Environmental Science And Pollution Research,WATER AIR AND SOIL POLLUTION,Water Air And Soil Pollution
citation 3,Environmental Science And Pollution Research,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 3,Environmental Science And Pollution Research,NANO RESEARCH,Nano Research
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,CHEMOSPHERE,Chemosphere
citation 3,Environmental Science And Pollution Research,DESALINATION AND WATER TREATMENT,Desalination And Water Treatment
citation 3,Environmental Science And Pollution Research,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,Process Safety And Environmental Protection
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 3,Environmental Science And Pollution Research,RSC ADVANCES,Rsc Advances
citation 3,Environmental Science And Pollution Research,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,Acs Sustainable Chemistry & Engineering
citation 3,Environmental Science And Pollution Research,CHEMISTRYSELECT,Chemistryselect
citation 3,Environmental Science And Pollution Research,JORDAN JOURNAL OF CHEMISTRY,Jordan Journal Of Chemistry
citation 3,Environmental Science And Pollution Research,TALANTA,Talanta
citation 30,Journal Of Applied Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 30,Journal Of Applied Toxicology,CHEMOSPHERE,Chemosphere
citation 30,Journal Of Applied Toxicology,SEPARATION SCIENCE AND TECHNOLOGY,Separation Science And Technology
citation 30,Journal Of Applied Toxicology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 30,Journal Of Applied Toxicology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 30,Journal Of Applied Toxicology,CHEMOSPHERE,Chemosphere
citation 30,Journal Of Applied Toxicology,JOURNAL OF SEPARATION SCIENCE,Journal Of Separation Science
citation 30,Journal Of Applied Toxicology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 30,Journal Of Applied Toxicology,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 30,Journal Of Applied Toxicology,SCIENTIFIC REPORTS,Scientific Reports
citation 30,Journal Of Applied Toxicology,CHEMOSPHERE,Chemosphere
citation 30,Journal Of Applied Toxicology,CHEMOSPHERE,Chemosphere
citation 30,Journal Of Applied Toxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 31,Toxicological And Environmental Chemistry,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 31,Toxicological And Environmental Chemistry,BIOLOGY LETTERS,Biology Letters
citation 31,Toxicological And Environmental Chemistry,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 31,Toxicological And Environmental Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 31,Toxicological And Environmental Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 31,Toxicological And Environmental Chemistry,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 31,Toxicological And Environmental Chemistry,ECOTOXICOLOGY,Ecotoxicology
citation 31,Toxicological And Environmental Chemistry,TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,Toxicological And Environmental Chemistry
citation 31,Toxicological And Environmental Chemistry,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,Elementa-Science Of The Anthropocene
citation 31,Toxicological And Environmental Chemistry,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 31,Toxicological And Environmental Chemistry,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 31,Toxicological And Environmental Chemistry,TOXICS,Toxics
citation 31,Toxicological And Environmental Chemistry,HYDROBIOLOGIA,Hydrobiologia
citation 32,Aquatic Toxicology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 32,Aquatic Toxicology,ECOTOXICOLOGY,Ecotoxicology
citation 32,Aquatic Toxicology,PLOS ONE,Plos One
citation 32,Aquatic Toxicology,NEUROTOXICOLOGY AND TERATOLOGY,Neurotoxicology And Teratology
citation 32,Aquatic Toxicology,PLOS ONE,Plos One
citation 32,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 32,Aquatic Toxicology,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 32,Aquatic Toxicology,ECOTOXICOLOGY,Ecotoxicology
citation 32,Aquatic Toxicology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,Comparative Biochemistry And Physiology C-Toxicology & Pharmacology
citation 32,Aquatic Toxicology,JOURNAL OF FISH BIOLOGY,Journal Of Fish Biology
citation 32,Aquatic Toxicology,CHEMOSPHERE,Chemosphere
citation 32,Aquatic Toxicology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 33,Ecotoxicology,BIOLOGY-BASEL,Biology-Basel
citation 33,Ecotoxicology,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,Environmental Science-Water Research & Technology
citation 33,Ecotoxicology,CHEMOSPHERE,Chemosphere
citation 33,Ecotoxicology,BIOLOGY LETTERS,Biology Letters
citation 33,Ecotoxicology,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,Environmental Toxicology And Chemistry
citation 33,Ecotoxicology,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 33,Ecotoxicology,EUROPEAN JOURNAL OF NEUROSCIENCE,European Journal Of Neuroscience
citation 33,Ecotoxicology,PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,Progress In Neuro-Psychopharmacology & Biological Psychiatry
citation 33,Ecotoxicology,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,Journal Of Trace Elements In Medicine And Biology
citation 33,Ecotoxicology,WATER,Water
citation 33,Ecotoxicology,TOXICOLOGY AND APPLIED PHARMACOLOGY,Toxicology And Applied Pharmacology
citation 34,Bioresource Technology,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 34,Bioresource Technology,WATER RESEARCH,Water Research
citation 34,Bioresource Technology,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 34,Bioresource Technology,26TH REGIONAL SYMPOSIUM ON CHEMICAL ENGINEERING (RSCE 2019),26Th Regional Symposium On Chemical Engineering (Rsce 2019)
citation 34,Bioresource Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 34,Bioresource Technology,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,Bulletin Of Environmental Contamination And Toxicology
citation 34,Bioresource Technology,ECOLOGICAL ENGINEERING,Ecological Engineering
citation 34,Bioresource Technology,MICROCHEMICAL JOURNAL,Microchemical Journal
citation 34,Bioresource Technology,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 34,Bioresource Technology,BIORESOURCE TECHNOLOGY,Bioresource Technology
citation 34,Bioresource Technology,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
citation 35,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 35,Environmental Pollution,WATER RESEARCH,Water Research
citation 35,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 35,Environmental Pollution,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 35,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 35,Environmental Pollution,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Analytical And Bioanalytical Chemistry
citation 35,Environmental Pollution,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 35,Environmental Pollution,MOLECULES,Molecules
citation 35,Environmental Pollution,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 35,Environmental Pollution,BIOLOGY LETTERS,Biology Letters
citation 36,Environmental Toxicology And Chemistry,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 36,Environmental Toxicology And Chemistry,EMERGING POLLUTANTS AND THEIR EFFECTS ON MARINE ECOSYSTEMS,Emerging Pollutants And Their Effects On Marine Ecosystems
citation 37,Journal Of Experimental Biology,SCIENTIFIC REPORTS,Scientific Reports
citation 37,Journal Of Experimental Biology,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Proceedings Of The Royal Society B-Biological Sciences
citation 37,Journal Of Experimental Biology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 37,Journal Of Experimental Biology,TRENDS IN PARASITOLOGY,Trends In Parasitology
citation 37,Journal Of Experimental Biology,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Behavioral Ecology And Sociobiology
citation 37,Journal Of Experimental Biology,BIOSCIENCE REPORTS,Bioscience Reports
citation 37,Journal Of Experimental Biology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 37,Journal Of Experimental Biology,JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
citation 37,Journal Of Experimental Biology,ETHOLOGY,Ethology
citation 37,Journal Of Experimental Biology,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Behavioral Ecology And Sociobiology
citation 38,Science Of The Total Environment,BIOENERGY RESEARCH,Bioenergy Research
citation 38,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 38,Science Of The Total Environment,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 38,Science Of The Total Environment,BIOLOGY LETTERS,Biology Letters
citation 38,Science Of The Total Environment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,International Journal Of Environmental Research And Public Health
citation 38,Science Of The Total Environment,HELIYON,Heliyon
citation 38,Science Of The Total Environment,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 38,Science Of The Total Environment,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science & Technology
citation 38,Science Of The Total Environment,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 39,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 39,Environmental Pollution,JOURNAL OF GREAT LAKES RESEARCH,Journal Of Great Lakes Research
citation 39,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 39,Environmental Pollution,JOURNAL OF WATER PROCESS ENGINEERING,Journal Of Water Process Engineering
citation 39,Environmental Pollution,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 39,Environmental Pollution,JOURNAL OF GREAT LAKES RESEARCH,Journal Of Great Lakes Research
citation 39,Environmental Pollution,ENVIRONMENT INTERNATIONAL,Environment International
citation 39,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 39,Environmental Pollution,INTEGRATIVE AND COMPARATIVE BIOLOGY,Integrative And Comparative Biology
citation 4,Environmental Pollution,JOURNAL OF HAZARDOUS MATERIALS,Journal Of Hazardous Materials
citation 4,Environmental Pollution,WATER RESEARCH,Water Research
citation 4,Environmental Pollution,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Analytical And Bioanalytical Chemistry
citation 4,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 4,Environmental Pollution,MOLECULES,Molecules
citation 4,Environmental Pollution,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 4,Environmental Pollution,ENVIRONMENTAL TECHNOLOGY,Environmental Technology
citation 4,Environmental Pollution,ENVIRONMENTAL POLLUTION,Environmental Pollution
citation 4,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 4,Environmental Pollution,SUSTAINABLE CHEMISTRY AND PHARMACY,Sustainable Chemistry And Pharmacy
citation 4,Environmental Pollution,JOURNAL OF ENVIRONMENTAL SCIENCES,Journal Of Environmental Sciences
citation 4,Environmental Pollution,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,Analytical And Bioanalytical Chemistry
citation 4,Environmental Pollution,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 4,Environmental Pollution,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 4,Environmental Pollution,PLOS ONE,Plos One
citation 4,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 4,Environmental Pollution,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,Environmental Science And Pollution Research
citation 4,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 4,Environmental Pollution,JOURNAL OF FRESHWATER ECOLOGY,Journal Of Freshwater Ecology
citation 4,Environmental Pollution,JOURNAL OF SEPARATION SCIENCE,Journal Of Separation Science
citation 4,Environmental Pollution,AQUATIC TOXICOLOGY,Aquatic Toxicology
citation 4,Environmental Pollution,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Ecotoxicology And Environmental Safety
citation 4,Environmental Pollution,CHEMOSPHERE,Chemosphere
citation 4,Environmental Pollution,MARINE ENVIRONMENTAL RESEARCH,Marine Environmental Research
citation 4,Environmental Pollution,SCIENCE OF THE TOTAL ENVIRONMENT,Science Of The Total Environment
citation 4,Environmental Pollution,CHEMOSPHERE,Chemosphere
citation 4,Environmental Pollution,CHEMICAL ENGINEERING JOURNAL,Chemical Engineering Journal
